Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26,Coluna 27,Coluna 28,Coluna 29,Coluna 30,Coluna 31,Coluna 32,Coluna 33,Coluna 34,Coluna 35,Coluna 36,Coluna 37,Coluna 38,Coluna 39,Coluna 40,Coluna 41,Coluna 42,Coluna 43,Coluna 44,Coluna 45,Coluna 46,Coluna 47,Coluna 48,Coluna 49,Coluna 50,Coluna 51,Coluna 52,Coluna 53,Coluna 54,Coluna 55,Coluna 56,Coluna 57,Coluna 58,Coluna 59,Coluna 60,Coluna 61,Coluna 62,Coluna 63,Coluna 64,Coluna 65,Coluna 66,Coluna 67,Coluna 68,Coluna 69,Coluna 70,Coluna 71,Coluna 72,Coluna 73,Coluna 74,Coluna 75,Coluna 76,Coluna 77,Coluna 78,Coluna 79,Coluna 80,Coluna 81,Coluna 82,Coluna 83,Coluna 84,Coluna 85,Coluna 86,Coluna 87,Coluna 88,Coluna 89,Coluna 90,Coluna 91,Coluna 92,Coluna 93,Coluna 94,Coluna 95,Coluna 96,Coluna 97,Coluna 98,Coluna 99,Coluna 100
D10Y1,865,10/01/2017,TER,4,3,5,2,2,2,2,2,2,2,2,2,2,9,2,10,7,9,8,9,7,7,6,8,10,3,7,6,2,5,2,3,7,5,8,2,10,10,3,6,4,3,8,10,8,3,3,6,10,8,8,7,4,10,2,2,4,8,5,8,6,7,8,10,10,8,5,5,7,10,7,10,9,7,2,8,9,7,10,5,4,10,8,2,7,9,7,3,3,9,10,7,3,9,5,9
D11Y1,698,11/01/2017,QUA,4,3,3,2,2,2,2,2,2,2,2,2,2,10,8,4,6,7,2,4,5,5,3,9,5,2,3,3,8,5,3,9,9,9,4,5,3,5,10,9,10,8,4,9,10,9,6,8,5,4,3,8,7,5,9,8,9,5,6,9,7,2,5,4,4,6,8,7,3,9,5,5,10,7,10,9,10,9,8,2,6,9,7,9,10,5,2,3,8,3,8,3,6,2,6,4
D12Y1,688,12/01/2017,QUI,4,5,4,2,2,2,2,2,2,2,2,2,2,3,5,10,10,6,6,6,3,10,10,10,8,2,7,5,8,5,8,8,8,4,7,8,4,8,8,2,10,5,9,10,5,5,6,9,9,10,4,9,4,9,5,5,7,3,3,6,9,3,6,3,4,9,6,5,4,5,6,3,9,4,3,2,8,6,7,7,7,8,10,8,5,8,7,5,2,10,3,6,5,6,5,4
D13Y1,896,13/01/2017,SEX,4,3,3,2,2,2,2,2,2,2,2,2,2,6,6,5,10,6,2,8,9,6,5,7,8,5,7,6,10,6,10,3,10,10,5,6,2,8,4,7,4,3,5,4,2,2,8,2,3,6,2,6,10,5,9,3,3,3,4,5,7,5,3,7,7,3,9,2,7,9,3,5,3,4,7,10,2,7,8,10,2,10,8,3,7,4,2,8,2,8,8,8,4,7,7,2
D14Y1,672,14/01/2017,SÁB,4,5,3,2,2,2,2,2,2,2,2,2,2,9,4,10,8,4,8,5,7,8,4,8,3,9,4,6,2,7,9,6,7,8,8,4,2,7,9,10,2,10,2,5,6,4,2,10,5,6,10,9,5,8,5,5,4,8,2,2,6,6,2,7,9,8,6,9,10,9,5,4,6,7,9,8,3,2,5,10,2,9,6,4,8,5,4,10,10,4,8,6,7,3,7,8
D15Y1,836,15/01/2017,DOM,3,2,3,2,2,2,2,2,2,2,2,2,2,5,10,8,10,3,9,2,3,4,9,2,3,7,3,4,6,9,3,10,4,3,7,10,7,2,9,4,8,6,2,6,6,5,7,6,9,9,4,4,3,7,2,4,9,8,6,5,10,7,9,2,9,8,2,8,3,10,5,2,3,9,6,6,9,3,9,8,10,3,8,3,10,6,10,5,3,2,4,10,9,3,3,6
D16Y1,818,16/01/2017,SEG,3,5,2,2,2,2,2,2,2,2,2,2,2,10,10,2,8,4,7,10,2,2,5,10,5,2,5,10,2,3,5,10,7,2,7,4,6,7,7,6,8,5,10,5,9,6,3,6,7,4,9,9,6,2,2,9,6,5,3,3,8,6,7,8,8,3,6,2,2,8,10,2,3,4,9,10,5,4,7,3,6,10,7,5,3,5,4,8,9,5,2,3,4,3,8,7
D17Y1,799,17/01/2017,TER,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,7,5,2,10,4,7,8,4,5,7,2,6,8,4,10,9,8,3,9,2,10,10,10,3,6,7,7,9,4,5,4,3,3,2,2,2,9,7,10,5,2,10,7,8,2,5,7,4,7,7,8,5,3,4,4,3,9,7,10,5,5,5,4,5,7,7,5,8,10,2,10,10,7,8,4,3,5,3,2,5,3
D18Y1,621,18/01/2017,QUA,5,2,4,2,2,2,2,2,2,2,2,2,2,2,9,8,3,6,7,5,10,6,10,6,9,5,4,2,4,4,7,8,8,10,3,5,10,10,8,3,2,9,3,2,6,5,2,6,10,5,2,7,7,6,5,5,10,6,5,10,7,9,10,6,10,9,4,2,4,10,6,4,7,4,3,6,6,3,3,2,10,8,7,4,7,3,2,8,2,8,9,5,2,6,10,4
D19Y1,1079,19/01/2017,QUI,5,4,5,2,2,2,2,2,2,2,2,2,2,4,9,7,5,5,6,4,6,6,6,7,8,8,2,6,7,8,9,2,7,2,5,3,2,8,5,5,5,8,3,2,8,7,4,4,4,9,6,2,9,2,10,4,2,9,2,3,5,9,8,7,5,8,6,8,7,5,10,7,2,6,5,3,9,8,2,9,9,4,2,2,10,5,5,7,7,6,9,2,3,6,3,6
D20Y1,603,20/01/2017,SEX,5,5,3,2,2,2,2,2,2,2,2,2,2,7,4,4,9,9,2,6,9,2,10,4,7,10,10,2,9,2,3,6,2,6,3,4,8,9,5,10,8,10,9,9,9,7,3,7,5,8,5,9,5,5,2,6,8,3,3,4,5,6,6,10,9,8,3,4,4,5,3,7,7,6,4,2,2,2,6,9,9,10,8,8,9,6,6,9,8,4,5,5,7,6,6,4
D21Y1,922,21/01/2017,SÁB,2,2,4,2,2,2,2,2,2,2,2,2,2,5,8,10,3,3,10,6,5,9,5,5,2,6,5,9,2,10,2,10,10,9,4,2,3,4,2,7,6,2,7,7,2,10,6,3,9,8,3,6,6,10,6,8,9,5,7,5,5,5,7,7,3,3,6,4,2,8,6,8,5,8,2,8,3,10,4,3,7,4,7,10,7,7,8,3,4,3,9,6,2,10,2,10
D22Y1,1094,22/01/2017,DOM,5,3,4,2,2,2,2,2,2,2,2,2,2,9,6,8,10,9,10,8,7,2,10,10,3,10,7,10,9,3,10,9,5,10,9,8,6,3,2,5,9,6,4,5,5,6,10,5,5,2,9,4,3,2,8,6,7,7,8,2,10,9,2,7,4,6,8,4,3,7,3,7,4,8,3,6,2,9,10,7,8,2,5,10,9,8,8,4,5,8,8,9,2,6,8,6
D23Y1,1042,23/01/2017,SEG,2,3,3,2,2,2,2,2,2,2,2,2,2,5,4,10,6,10,10,9,4,10,6,2,4,5,3,2,4,9,4,5,6,5,4,7,3,6,5,4,8,8,3,7,10,3,6,6,4,8,7,7,5,8,8,5,9,6,3,10,4,2,5,2,7,3,10,8,5,7,7,2,9,3,4,5,4,6,2,3,4,4,3,8,9,2,2,7,5,2,4,4,3,8,6,9
D24Y1,1082,24/01/2017,TER,2,5,2,2,2,2,2,2,2,2,2,2,2,3,8,5,6,2,2,4,9,6,9,5,3,9,3,4,2,6,9,6,8,4,8,5,3,5,10,9,9,6,6,8,2,8,9,2,8,7,7,7,7,7,6,9,9,3,10,3,10,10,4,9,8,6,10,7,8,5,7,7,3,8,3,7,10,7,7,4,9,7,5,8,10,9,9,10,4,4,3,4,4,10,4,7
D25Y1,906,25/01/2017,QUA,4,3,3,2,2,2,2,2,2,2,2,2,2,5,2,4,8,5,8,5,6,10,10,4,8,8,7,4,10,5,6,2,2,4,10,5,4,2,8,10,5,5,6,10,9,10,5,6,8,4,8,2,3,4,2,4,7,5,7,8,2,6,5,9,10,10,3,7,8,8,3,3,5,5,5,4,6,7,4,3,8,8,3,10,7,2,4,10,7,8,3,4,4,2,9,5
D26Y1,865,26/01/2017,QUI,3,4,5,2,2,2,2,2,2,2,2,2,2,4,7,9,6,3,7,5,4,4,2,8,2,7,10,3,6,7,2,6,2,6,3,4,8,10,9,5,4,7,9,10,2,5,5,5,7,2,8,10,3,7,5,3,2,8,7,5,7,4,4,9,10,6,2,8,8,6,7,3,3,7,4,3,2,10,6,9,7,3,8,7,4,6,5,2,2,2,10,6,3,9,5,7
D27Y1,985,27/01/2017,SEX,2,3,5,2,2,2,2,2,2,2,2,2,2,2,10,4,2,10,2,5,4,3,5,7,2,8,3,5,5,10,3,7,8,3,10,2,5,9,5,6,9,5,6,8,5,8,2,5,9,5,6,9,10,6,10,3,6,6,4,10,10,9,6,5,2,5,7,9,7,6,3,4,6,10,6,8,7,6,7,2,9,5,9,4,10,4,3,7,7,5,2,7,4,10,7,8
D28Y1,569,28/01/2017,SÁB,2,2,4,2,2,2,2,2,2,2,2,2,2,8,3,8,10,4,8,2,3,3,3,5,6,5,4,6,2,4,4,8,4,4,5,2,5,6,2,10,4,6,10,7,8,3,2,10,5,10,2,2,7,5,2,7,10,7,10,10,4,3,2,3,5,6,9,8,2,10,10,5,2,6,7,2,4,4,9,9,4,2,8,9,6,8,5,5,3,3,6,7,2,9,2,9
D29Y1,510,29/01/2017,DOM,2,4,2,2,2,2,2,2,2,2,2,2,2,6,9,8,4,6,3,5,9,6,5,2,9,3,6,3,8,6,8,6,3,10,3,8,5,4,9,5,8,2,3,8,2,10,9,2,10,3,3,5,8,6,8,2,10,7,7,8,8,4,2,5,2,8,3,8,5,3,4,3,10,8,7,9,4,7,2,10,2,3,4,8,8,5,8,7,4,2,5,10,8,10,6,6
D30Y1,983,30/01/2017,SEG,5,4,3,2,2,2,2,2,2,2,2,2,2,9,9,8,3,6,3,3,8,9,3,6,7,6,6,7,3,3,4,4,10,5,2,10,5,4,7,9,9,2,5,9,5,5,8,6,7,2,7,4,5,3,2,5,7,7,2,10,6,7,9,5,9,7,8,3,5,10,2,4,6,6,2,9,7,10,5,10,2,3,4,6,2,4,9,9,8,9,8,2,7,6,2,8
D31Y1,578,31/01/2017,TER,3,2,5,2,2,2,2,2,2,2,2,2,2,2,6,5,8,8,7,3,6,8,7,6,4,3,7,5,7,6,10,7,3,10,3,7,4,3,3,7,5,4,8,7,7,8,3,9,5,10,9,3,4,2,6,3,5,7,9,6,6,3,5,9,4,7,9,9,10,7,2,4,2,3,3,8,2,2,3,5,4,6,10,7,3,8,8,5,4,9,4,6,7,4,8,3
D32Y1,863,01/02/2017,QUA,4,4,2,2,2,2,2,2,2,2,2,2,2,9,3,7,9,4,3,4,2,8,7,7,2,2,10,8,5,8,10,4,6,8,7,6,10,5,8,4,9,8,3,6,7,8,7,6,6,7,10,7,6,9,10,5,3,8,10,10,3,8,8,5,4,4,8,5,4,4,6,6,3,7,3,9,4,10,9,5,4,8,7,9,4,3,2,6,10,2,3,4,10,3,9,2
D33Y1,1149,02/02/2017,QUI,3,5,5,2,2,2,2,2,2,2,2,2,2,9,7,6,10,7,8,7,3,3,6,2,4,6,6,8,2,5,7,5,2,8,2,3,7,9,5,2,4,3,3,5,8,2,4,9,4,7,9,3,9,2,7,4,10,6,9,6,10,6,9,3,2,3,5,4,3,3,10,8,3,7,6,3,6,10,8,2,2,10,2,8,6,10,10,4,5,10,2,10,3,2,7,3
D34Y1,811,03/02/2017,SEX,2,5,3,2,2,2,2,2,2,2,2,2,2,8,10,9,9,5,7,9,2,9,3,3,7,7,3,10,4,6,5,4,5,6,9,6,2,2,5,10,4,7,2,8,6,7,10,3,6,2,7,10,3,10,10,4,6,9,6,9,2,7,6,8,8,5,9,4,9,9,5,2,7,5,8,10,3,5,2,7,10,9,5,8,6,5,8,10,10,8,4,7,7,2,9,9
D35Y1,793,04/02/2017,SÁB,3,3,5,2,2,2,2,2,2,2,2,2,2,5,9,8,10,5,7,7,3,6,3,2,7,10,8,10,5,8,9,3,5,8,6,8,10,5,9,6,10,5,6,8,9,4,5,9,10,3,3,2,4,5,5,5,2,10,3,3,10,3,6,10,4,7,6,4,9,5,2,7,9,6,6,8,4,4,2,9,7,3,8,5,9,7,3,5,8,2,10,5,10,9,5,8
D36Y1,585,05/02/2017,DOM,5,3,3,2,2,2,2,2,2,2,2,2,2,2,9,5,3,10,6,9,10,2,10,5,6,8,2,4,2,3,8,8,8,7,4,8,4,9,3,4,9,8,3,6,4,3,4,9,8,4,5,10,8,5,10,4,6,8,10,2,4,10,6,5,8,7,4,3,5,6,7,5,9,3,2,9,6,4,6,3,7,5,7,8,10,5,7,10,10,10,7,2,10,9,10,3
D37Y1,1100,06/02/2017,SEG,4,2,5,2,2,2,2,2,2,2,2,2,2,4,7,6,4,7,2,4,7,10,6,3,8,6,10,9,3,3,4,5,2,7,8,5,5,6,5,2,8,7,8,9,4,10,7,3,8,8,7,2,2,2,8,5,7,5,8,4,8,6,8,6,3,5,4,7,2,2,5,10,2,4,8,10,3,9,5,9,10,5,3,5,3,5,10,10,2,4,9,10,8,5,9,3
D38Y1,609,07/02/2017,TER,4,5,2,2,2,2,2,2,2,2,2,2,2,3,9,2,4,8,4,6,5,6,3,7,6,4,2,9,10,6,6,3,3,9,2,4,9,6,8,2,7,8,9,5,3,6,4,3,9,6,2,2,8,10,8,6,6,5,7,8,6,7,5,7,4,3,6,8,5,7,2,9,4,10,7,4,3,7,5,7,8,4,9,6,7,10,9,7,3,4,5,10,6,8,4,2
D39Y1,600,08/02/2017,QUA,5,2,4,2,2,2,2,2,2,2,2,2,2,3,2,8,7,3,5,3,2,10,10,9,5,3,4,2,4,5,8,8,8,9,9,3,3,8,4,7,3,4,10,2,8,6,7,7,8,4,4,5,6,8,5,8,7,7,5,8,8,10,5,8,9,9,8,3,5,10,8,2,5,5,3,2,5,8,5,6,6,6,9,7,4,7,10,8,6,3,6,4,3,4,7,8
D40Y1,819,09/02/2017,QUI,5,4,4,2,2,2,2,2,2,2,2,2,2,7,4,4,10,8,3,3,6,6,6,2,8,4,8,8,4,9,2,10,4,2,7,10,9,6,4,5,8,3,6,5,9,7,10,9,9,3,7,10,10,5,9,6,4,8,5,9,3,7,3,6,5,8,3,8,10,9,3,3,2,7,10,8,2,2,6,2,6,9,8,10,6,7,8,7,2,3,2,5,5,8,7,3
D41Y1,530,10/02/2017,SEX,2,4,4,2,2,2,2,2,2,2,2,2,2,7,9,2,7,2,8,2,6,5,6,7,3,7,2,8,6,10,2,2,3,10,9,7,4,9,8,4,7,4,3,6,5,6,7,9,8,7,3,8,2,5,3,5,3,9,6,4,9,9,10,6,6,3,7,7,4,4,9,5,4,6,4,4,2,7,8,5,9,9,6,7,7,5,5,2,9,2,6,9,2,10,8,7
D42Y1,1049,11/02/2017,SÁB,3,5,4,2,2,2,2,2,2,2,2,2,2,5,8,5,8,6,10,4,8,8,7,8,8,4,10,4,6,3,9,7,5,5,4,7,8,4,5,6,6,10,9,3,4,2,8,4,7,9,9,3,9,9,4,6,10,7,7,3,8,2,9,7,8,10,10,5,3,10,5,10,2,7,6,2,2,3,8,7,5,3,9,7,9,2,9,9,4,6,9,7,4,10,10,3
D43Y1,1086,12/02/2017,DOM,4,5,5,2,2,2,2,2,2,2,2,2,2,3,8,8,8,3,2,8,3,9,9,8,7,7,10,4,6,8,5,6,6,9,9,2,5,7,5,4,2,9,9,3,5,3,5,8,4,6,5,3,2,7,6,8,6,4,8,8,4,5,10,9,3,7,9,8,5,2,10,6,7,5,9,9,8,10,10,9,5,9,10,8,3,2,3,6,7,7,3,10,7,2,4,8
D44Y1,966,13/02/2017,SEG,2,4,2,2,2,2,2,2,2,2,2,2,2,7,6,5,9,5,10,10,10,6,6,10,8,5,8,3,10,4,7,6,8,5,5,6,6,3,7,10,7,10,8,7,10,6,4,5,4,2,3,9,8,6,7,9,5,6,2,10,2,8,7,4,5,3,10,9,3,2,3,9,7,8,2,2,2,4,4,2,2,7,9,2,9,4,6,7,6,4,5,7,9,3,6,2
D45Y1,877,14/02/2017,TER,4,4,2,2,2,2,2,2,2,2,2,2,2,10,5,8,9,2,6,3,3,3,8,2,6,4,4,4,3,2,3,8,6,2,8,9,9,3,9,5,3,8,6,2,4,8,4,8,7,5,6,10,10,7,10,9,8,7,5,6,6,6,3,4,7,4,2,3,4,5,4,7,4,9,5,6,6,2,6,3,2,4,8,6,3,7,9,9,7,10,8,5,7,7,2,10
D46Y1,983,15/02/2017,QUA,2,5,5,2,2,2,2,2,2,2,2,2,2,4,2,7,5,6,6,7,7,2,5,5,8,7,4,3,9,2,7,6,7,10,3,2,8,6,4,3,6,6,4,6,8,2,9,8,2,5,5,2,6,4,2,2,4,9,3,7,4,4,10,4,10,2,2,5,6,6,3,3,5,2,9,6,4,7,10,10,7,8,2,3,4,2,6,2,2,9,9,7,2,4,3,2
D47Y1,940,16/02/2017,QUI,5,5,3,2,2,2,2,2,2,2,2,2,2,2,10,6,9,8,10,9,6,10,8,2,4,3,10,9,9,5,5,2,6,5,8,2,7,8,6,6,10,3,3,8,7,8,7,6,9,8,5,6,4,6,2,3,8,7,10,3,8,4,9,2,3,8,7,6,9,3,8,8,2,6,9,6,6,9,5,5,4,5,9,2,10,8,2,4,3,7,3,7,4,3,10,9
D48Y1,736,17/02/2017,SEX,4,5,2,2,2,2,2,2,2,2,2,2,2,6,7,5,9,5,7,5,6,3,8,5,9,2,6,2,9,9,5,2,10,4,10,3,7,7,8,3,10,6,8,6,5,8,10,4,6,6,2,4,9,2,3,5,9,6,9,8,4,7,3,2,3,6,7,8,8,8,9,4,7,3,10,8,4,7,6,2,5,4,8,7,6,7,8,9,2,6,7,2,7,2,2,8
D49Y1,951,18/02/2017,SÁB,2,4,4,2,2,2,2,2,2,2,2,2,2,7,2,3,10,10,10,2,6,10,6,5,9,6,7,5,3,3,5,10,7,7,7,2,9,6,3,5,10,5,4,6,2,10,3,7,6,2,6,2,9,3,3,9,6,6,8,2,4,9,7,10,6,9,7,8,6,8,9,5,2,5,8,10,2,2,8,10,6,7,10,6,10,3,2,6,7,7,5,9,7,6,6,2
D50Y1,518,19/02/2017,DOM,3,4,5,2,2,2,2,2,2,2,2,2,2,5,5,10,10,3,2,2,3,9,6,4,9,7,8,2,2,3,5,8,8,5,9,3,7,7,9,4,10,7,8,4,5,3,3,3,9,3,7,3,5,4,8,2,7,6,5,4,2,9,9,5,8,8,9,4,7,4,9,3,5,7,9,4,8,3,3,7,10,2,3,4,3,10,5,3,7,3,6,6,8,3,3,8
D51Y1,817,20/02/2017,SEG,3,5,5,2,2,2,2,2,2,2,2,2,2,7,9,5,5,7,4,6,3,2,10,8,10,3,9,4,3,8,5,8,4,6,8,5,6,10,6,6,5,10,8,3,3,7,9,9,7,3,8,7,10,8,2,9,7,4,5,7,4,6,4,4,6,2,8,7,2,8,7,8,2,4,10,6,8,8,10,2,5,6,10,6,5,6,4,5,5,4,8,8,9,5,7,5
D52Y1,1115,21/02/2017,TER,2,5,5,2,2,2,2,2,2,2,2,2,2,8,5,6,8,9,9,7,5,9,2,2,10,6,2,6,4,6,10,6,5,3,3,2,7,3,6,3,2,5,5,5,9,3,3,8,5,4,9,9,2,3,7,4,3,6,6,10,3,2,2,9,3,7,3,3,5,2,10,2,6,9,9,5,3,7,7,5,9,6,2,9,3,5,7,4,6,10,6,2,7,7,9,4
D53Y1,885,22/02/2017,QUA,5,2,4,2,2,2,2,2,2,2,2,2,2,2,6,4,9,10,2,9,4,6,2,2,4,2,7,4,9,8,7,9,8,2,5,8,10,3,3,4,10,3,8,3,6,10,5,2,2,8,3,3,9,6,10,9,3,5,6,5,10,4,10,9,6,3,10,9,5,10,4,6,5,5,2,7,3,6,7,7,6,9,5,7,6,10,9,5,2,10,4,5,7,6,9,7
D54Y1,904,23/02/2017,QUI,2,3,4,2,2,2,2,2,2,2,2,2,2,10,5,8,4,2,5,7,4,10,6,10,6,8,5,6,3,9,5,9,5,7,6,9,2,7,7,6,3,4,8,9,5,5,4,5,3,8,6,4,10,5,5,9,7,2,3,7,9,2,7,10,10,6,8,3,8,4,4,5,5,8,6,7,3,4,7,10,5,10,8,4,10,2,2,3,4,7,8,8,5,5,10,4
D55Y1,738,24/02/2017,SEX,5,2,5,2,2,2,2,2,2,2,2,2,2,4,6,8,10,9,8,2,2,9,2,5,3,8,8,6,6,6,6,10,4,7,3,7,2,3,7,10,7,9,7,3,4,3,9,2,2,4,8,4,5,6,10,5,9,6,10,6,4,2,7,2,6,3,3,3,5,10,5,9,5,5,9,7,2,7,10,4,9,10,2,5,5,2,5,7,10,2,3,10,9,10,10,7
D56Y1,836,25/02/2017,SÁB,3,4,3,2,2,2,2,2,2,2,2,2,2,8,9,5,3,8,4,9,5,10,2,3,5,2,2,3,10,4,3,2,4,8,4,9,7,6,9,3,8,2,4,8,5,7,5,9,9,7,7,9,10,3,2,2,8,2,2,3,2,9,6,9,9,3,8,3,2,7,3,6,3,6,8,3,6,6,7,8,3,5,9,3,5,10,7,7,5,6,9,3,5,5,5,8
D57Y1,1041,26/02/2017,DOM,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,5,5,3,7,7,7,8,6,8,7,5,3,7,3,9,10,10,9,6,6,7,7,8,3,5,8,6,5,8,6,4,4,4,8,8,9,6,9,7,7,3,6,6,2,2,4,2,5,10,3,6,5,2,10,2,4,9,2,8,3,4,9,10,9,5,5,6,10,6,7,10,8,6,8,8,5,9,4,2,4,4
